,Company,Market_Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,Unnamed: 16,norm_name,match,match_score,comp_name,WikidataID,Des,Logo,employees_count,Market_Value_class,Revenue_class,Profits_class,Assets_class,Rank_class
218,Micron_Technology,60.099,25.858,10.002,41.263,221.0,Information Technology,Semiconductors,North America,United_States,Idaho,Idaho,Sanjay Mehrotra,http://www.forbes.com/companies/micron-technology/,0.2423963357,0.3868048573,,micron technology,micron technology,1,micron technology,http://www.wikidata.org/entity/Q1197548,"American multinational corporation based in Boise, Idaho which produces many forms of semiconductor devices.",https://upload.wikimedia.org/wikipedia/commons/9/9b/Micron_Technology_logo.svg,30000.0,high,mid,high,mid,low
219,Denso,40.571,46.09,2.8923,54.202,222.0,Consumer Discretionary,Auto_&_Truck_Parts,Asia,Japan,Japan,,Koji Arima,http://www.forbes.com/companies/denso/,0.05336149958,0.06275330874,,denso,denso,1,denso,http://www.wikidata.org/entity/Q176508,Global automotive components manufacturer,https://upload.wikimedia.org/wikipedia/commons/8/8f/Denso.svg,0.0,mid,high,high,mid,low
220,JXTG_Holdings,22.027,92.943,3.2655,79.526,223.0,Energy,Oil_&_Gas_Operations,Asia,Japan,Japan,,Yasushi Kimura,http://www.forbes.com/companies/jxtg-holdings/,0.0410620426,0.03513443724,,jxtg holdings,tbs holdings,0,tbs holdings,http://www.wikidata.org/entity/Q605233,Japanese holding company,https://upload.wikimedia.org/wikipedia/commons/1/14/Tokyo_Broadcasting_System_logo_2020.svg,0.0,mid,high,high,mid,low
221,Danske_Bank,29.058,18.349,3.0066,583.832,224.0,Financials,Major_Banks,Europe,Denmark,Denmark,,Thomas Borgen,http://www.forbes.com/companies/danske-bank/,0.005149769112,0.1638563409,,danske bank,danske bank,1,danske bank,http://www.wikidata.org/entity/Q1636974,bank headquartered in Denmark,https://upload.wikimedia.org/wikipedia/commons/9/9f/Danske_Bank_logo.svg,19122.0,mid,mid,high,high,low
222,Delta_Air_Lines,37.108,42.057,3.521,54.078,224.0,Industrials,Airline,North America,United_States,Georgia,Georgia,Edward Bastian,http://www.forbes.com/companies/delta-air-lines/,0.06510965642,0.08371971372,,delta air lines,delta air lines,1,delta air lines,http://www.wikidata.org/entity/Q188920,airline in the United States,https://upload.wikimedia.org/wikipedia/commons/d/d1/Delta_logo.svg,0.0,mid,high,high,mid,low
223,GlaxoSmithKline,98.558,39.786,1.3715,78.78,226.0,Health Care,Pharmaceuticals,Europe,United_Kingdom,United Kingdom,,Emma Walmsley,http://www.forbes.com/companies/glaxosmithkline/,0.01740924092,0.0344719248,,glaxosmithkline,,0,,,,nan,,high,high,mid,mid,low
224,People's_Insurance,20.213,69.954,2.3783,147.374,227.0,Financials,Property_&_Casualty_Insurance,Asia,China,China,,Fan Lin,http://www.forbes.com/companies/peoples-insurance/,0.01613785335,0.03399805587,,people's insurance,helvetia insurance,0,helvetia insurance,http://www.wikidata.org/entity/Q933766,Swiss insurance group,https://upload.wikimedia.org/wikipedia/commons/6/66/Helvetia_logo_422x129.png,0.0,mid,high,mid,mid,low
225,DBS_Group,56.58,11.81,3.4182,404.108,228.0,Financials,Regional_Banks,Asia,Singapore,Singapore,,Piyush Gupta,http://www.forbes.com/companies/dbs-group/,0.008458629871,0.2894326842,,dbs group,bt group,0,bt group,http://www.wikidata.org/entity/Q593786,British multinational telecommunications services company,https://upload.wikimedia.org/wikipedia/commons/6/67/BT_logo_2019.png,104399.0,high,mid,high,high,low
226,Posco,26.782,55.3,2.6179,75.638,228.0,Materials,Iron_&_Steel,Asia,South_Korea,South Korea,,Jeong-Woo Choi,http://www.forbes.com/companies/posco/,0.03461090986,0.04733996383,,posco,posco,1,posco,http://www.wikidata.org/entity/Q483946,"company, from Pohang, South Korea; with New York Exchange -listed share (PKX)",https://upload.wikimedia.org/wikipedia/commons/0/05/POSCO_logo.svg,37225.0,mid,high,mid,mid,low
227,E.ON,24.173,43.022,4.8813,67.926,230.0,Utilities,Electric_Utilities,Europe,Germany,Germany,,Oh-Joon Kwon,http://www.forbes.com/companies/eon/,0.07186202632,0.1134605551,,e.on,veon,0,veon,http://www.wikidata.org/entity/Q1562826,holding company founded in 2009 and headquartered in Amsterdam,https://upload.wikimedia.org/wikipedia/commons/c/ce/Veon_Logo.png,0.0,mid,high,high,mid,low
228,Panasonic,34.929,72.02,2.1297,59.155,231.0,Consumer Discretionary,Consumer_Electronics,Asia,Japan,Japan,,In-Hwan Oh,http://www.forbes.com/companies/panasonic/,0.03600202857,0.02957095251,,panasonic,plantronics,0,plantronics,http://www.wikidata.org/entity/Q1531473,company,https://upload.wikimedia.org/wikipedia/commons/f/ff/Plantronics_201x_logo.svg,7490.0,mid,high,mid,mid,low
229,Fresenius,44.086,39.318,2.1,65.801,232.0,Health Care,Medical_Equipment_&_Supplies,Europe,Germany,Germany,,Stephan Sturm,http://www.forbes.com/companies/fresenius/,0.0319144086,0.05341065161,,fresenius,freshii,0,freshii,http://www.wikidata.org/entity/Q5503051,Canadian multinational restaurant chain,https://upload.wikimedia.org/wikipedia/commons/e/ef/Freshii_logo.svg,0.0,mid,high,mid,mid,low
230,Repsol,30.198,49.739,2.2741,71.567,233.0,Energy,Oil_&_Gas_Operations,Europe,Spain,Spain,,Josu Imaz San Miguel,http://www.forbes.com/companies/repsol/,0.03177581846,0.04572066185,,repsol,repsol,1,repsol,http://www.wikidata.org/entity/Q174747,Spanish oil and gas company,https://upload.wikimedia.org/wikipedia/commons/d/df/Logo_de_Repsol.jpg,25700.0,mid,high,mid,mid,low
231,Travelers,35.472,29.258,2.092,103.676,234.0,Financials,Property_&_Casualty_Insurance,North America,United_States,New York,New York,Alan Schnitzer,http://www.forbes.com/companies/travelers/,0.02017824762,0.07150181147,,travelers,travel expert,0,travel expert,http://www.wikidata.org/entity/Q7241570,,https://upload.wikimedia.org/wikipedia/commons/5/54/Travel_Expert_logo.svg,0.0,mid,mid,mid,mid,low
232,East_Japan_Railway,37.892,26.618,2.6072,76.612,235.0,Industrials,Railroads,Asia,Japan,Japan,,Tetsuro Tomita,http://www.forbes.com/companies/east-japan-railway/,0.03403122226,0.09794875648,,east japan railway,east japan railway company,0,east japan railway company,http://www.wikidata.org/entity/Q499071,Passenger railway service provider in east Japan,https://upload.wikimedia.org/wikipedia/commons/f/f7/JR_logo_%28east%29.svg,73063.0,mid,mid,mid,mid,low
233,Baoshan_Iron_&_Steel,31.673,40.743,3.0788,56.219,236.0,Materials,Iron_&_Steel,Asia,China,China,,Ji Zou,http://www.forbes.com/companies/baoshan-iron-steel/,0.05476440349,0.07556635496,,baoshan iron & steel,maanshan iron and steel,0,maanshan iron and steel,http://www.wikidata.org/entity/Q1859119,Chinese steel manufacturer,https://upload.wikimedia.org/wikipedia/commons/6/62/Masteel.png,41220.0,mid,high,high,mid,low
234,Qatar_National_Bank,36.355,13.818,3.6654,228.908,237.0,Financials,Regional_Banks,Asia,Qatar,Qatar,,Ali Z. A. Al-Kuwari,http://www.forbes.com/companies/qatar-national-bank/,0.01601254653,0.2652627008,,qatar national bank,the saudi national bank,0,the saudi national bank,http://www.wikidata.org/entity/Q1518238,Bank,https://upload.wikimedia.org/wikipedia/commons/9/98/NCB.svg,0.0,mid,mid,high,high,low
235,Volvo_Group,37.09,41.538,2.6256,53.051,238.0,Industrials,Heavy_Equipment,Europe,Sweden,Sweden,,Martin Lundstedt,http://www.forbes.com/companies/volvo-group/,0.04949199827,0.06320959122,,volvo group,mol group,0,mol group,http://www.wikidata.org/entity/Q549181,Hungarian oil and gas group,https://upload.wikimedia.org/wikipedia/commons/0/04/MOL_Group.svg,24986.0,mid,high,mid,mid,low
236,Danone,48.893,27.834,2.7668,53.157,239.0,Consumer Staples,Food_Processing,Europe,France,France,,Emmanuel Faber,http://www.forbes.com/companies/danone/,0.05204958895,0.0994036071,,danone,danone,1,danone,http://www.wikidata.org/entity/Q329426,French food company,https://upload.wikimedia.org/wikipedia/commons/0/03/Danone_Logo.png,0.0,high,mid,mid,mid,low
237,Thermo_Fisher_Scientific,87.123,22.006,2.2525,56.58,240.0,,Precision_Healthcare_Equipment,North America,United_States,Massachusetts,Massachusetts,Marc Casper,http://www.forbes.com/companies/thermo-fisher-scientific/,0.03981088724,0.1023584477,,thermo fisher scientific,thermo fisher scientific,1,thermo fisher scientific,http://www.wikidata.org/entity/Q643674,American company providing scientific instrumentation,https://upload.wikimedia.org/wikipedia/commons/5/50/Thermo_Fisher_Scientific_logo.svg,0.0,high,mid,mid,mid,low
238,McDonald's,129.86,22.283,5.3529,33.723,241.0,Consumer Discretionary,Restaurants,North America,United_States,Illinois,Illinois,Stephen Easterbrook,http://www.forbes.com/companies/mcdonalds/,0.1587314296,0.2402234888,,mcdonald's,mcdonald’s,0,mcdonald’s,http://www.wikidata.org/entity/Q38076,American fast food restaurant chain,https://upload.wikimedia.org/wikipedia/commons/a/a3/McDonald%27s_Golden_Arches.svg,210000.0,high,mid,high,mid,low
239,Target,37.649,71.879,2.934,38.999,242.0,Consumer Discretionary,Discount_Stores,North America,United_States,Minnesota,Minnesota,Brian Cornell,http://www.forbes.com/companies/target/,0.07523269827,0.04081859792,,target,target,1,target,http://www.wikidata.org/entity/Q1046951,a shopping center in the United States,https://upload.wikimedia.org/wikipedia/commons/9/9a/Target_logo.svg,345000.0,mid,high,high,mid,low
240,Petrobras,92.612,90.047,0.642,247.97,243.0,Energy,Oil_&_Gas_Operations,South America,Brazil,Brazil,,Pedro Parente,http://www.forbes.com/companies/petrobras/,0.002589022866,0.007129610093,,petrobras,petrobras,1,petrobras,http://www.wikidata.org/entity/Q210047,Brazilian energy company,https://upload.wikimedia.org/wikipedia/commons/6/60/Petrobras_horizontal_logo_%28international%29.svg,52000.0,high,high,mid,high,low
241,KBC_Group,36.003,13.791,2.8458,351.044,244.0,Financials,Regional_Banks,Europe,Belgium,Belgium,,Johan Thijs,http://www.forbes.com/companies/kbc-group/,0.008106676086,0.2063519687,,kbc group,kbc group,1,kbc group,http://www.wikidata.org/entity/Q29560723,Belgian financial company,https://upload.wikimedia.org/wikipedia/commons/7/79/Hogo.svg.png,36030.0,mid,mid,high,high,low
242,Midea_Group,55.671,37.837,2.744,40.143,245.0,Consumer Discretionary,Household_Appliances,Asia,China,China,,Hongbo Fang,http://www.forbes.com/companies/midea-group/,0.06835562863,0.07252160584,,midea group,linde group,0,linde group,http://www.wikidata.org/entity/Q682759,multinational industrial gases and engineering company founded in Germany in 1879,https://upload.wikimedia.org/wikipedia/commons/f/f4/TheLindeGroup-Logo.svg,80820.0,high,high,mid,mid,low
243,Shire,50.304,15.348,4.434,67.869,246.0,Health Care,Pharmaceuticals,Europe,Ireland,Ireland,,Flemming Ornskov,http://www.forbes.com/companies/shire/,0.06533174203,0.2888975762,,shire,sincere,0,sincere,http://www.wikidata.org/entity/Q3372957,,https://upload.wikimedia.org/wikipedia/commons/f/fe/Sincere_logo.svg,0.0,high,mid,high,mid,low
244,HP,37.276,54.173,3.853,35.245,247.0,Information Technology,Computer_Hardware,North America,United_States,California,California,Dion Weisler,http://www.forbes.com/companies/hp/,0.109320471,0.07112399166,,hp,,0,,,,nan,,mid,high,high,mid,low
245,EXOR,18.291,161.78,1.5701,196.661,248.0,Financials,Investment_Services,Europe,Netherlands,Netherlands,,John Elkann,http://www.forbes.com/companies/exor/,0.007983789363,0.009705155149,,exor,exor,1,exor,http://www.wikidata.org/entity/Q1384140,Italian investment company incorporated in the Netherlands,https://upload.wikimedia.org/wikipedia/commons/3/3d/Exor_NV_logo_2017.svg,0.0,mid,high,mid,high,low
246,National_Grid,38.489,18.388,3.3517,77.286,249.0,Utilities,Electric_Utilities,Europe,United_Kingdom,United Kingdom,,John Pettigrew,http://www.forbes.com/companies/national-grid/,0.04336749217,0.1822764847,,national grid,national grid plc,0,national grid plc,http://www.wikidata.org/entity/Q1465461,British multinational electricity and gas utility company,https://upload.wikimedia.org/wikipedia/commons/a/a6/National_Grid_logo.svg,0.0,mid,mid,high,mid,low
247,Central_Japan_Railway,38.7,16.44,3.5685,83.768,250.0,Industrials,Railroads,Asia,Japan,Japan,,Kouei Tsuge,http://www.forbes.com/companies/central-japan-railway/,0.04259979945,0.2170620438,,central japan railway,central japan railway company,0,central japan railway company,http://www.wikidata.org/entity/Q513679,rail transportation company in central Japan (Tokai),https://upload.wikimedia.org/wikipedia/commons/f/fa/JR_logo_%28central%29.svg,18148.0,mid,mid,high,mid,low
248,General_Dynamics,60.571,31.067,2.948,37.219,251.0,Industrials,Aerospace_&_Defense,North America,United_States,Virginia,Virginia,Phebe Novakovic,http://www.forbes.com/companies/general-dynamics/,0.07920685671,0.09489168571,,general dynamics,general dynamics,1,general dynamics,http://www.wikidata.org/entity/Q502940,defense manufacturing conglomerate,https://upload.wikimedia.org/wikipedia/commons/7/71/General-Dynamics-Logo.svg,83500.0,high,high,high,mid,low
249,Canon,46.356,36.704,2.201,46.812,252.0,Industrials,Business_Products_&_Supplies,Asia,Japan,Japan,,Fujio Mitarai,http://www.forbes.com/companies/canon/,0.04701785867,0.05996621622,,canon,danone,0,danone,http://www.wikidata.org/entity/Q329426,French food company,https://upload.wikimedia.org/wikipedia/commons/0/03/Danone_Logo.png,0.0,mid,high,mid,mid,low
